"DateTime","Positiivne","Negatiivne","Positiivsete testide %"
"2020-02-26 00:00:00",1,12,7.69
"2020-02-27 00:00:00",0,10,0
"2020-02-28 00:00:00",0,13,0
"2020-02-29 00:00:00",0,8,0
"2020-03-01 00:00:00",0,18,0
"2020-03-02 00:00:00",1,21,4.55
"2020-03-03 00:00:00",0,29,0
"2020-03-04 00:00:00",1,35,2.78
"2020-03-05 00:00:00",7,28,20
"2020-03-06 00:00:00",0,72,0
"2020-03-07 00:00:00",0,29,0
"2020-03-08 00:00:00",0,20,0
"2020-03-09 00:00:00",3,62,4.62
"2020-03-10 00:00:00",2,59,3.28
"2020-03-11 00:00:00",3,71,4.05
"2020-03-12 00:00:00",40,97,29.2
"2020-03-13 00:00:00",44,163,21.26
"2020-03-14 00:00:00",23,143,13.86
"2020-03-15 00:00:00",75,427,14.94
"2020-03-16 00:00:00",25,296,7.79
"2020-03-17 00:00:00",22,174,11.22
"2020-03-18 00:00:00",28,515,5.16
"2020-03-19 00:00:00",28,350,7.41
"2020-03-20 00:00:00",12,396,2.94
"2020-03-21 00:00:00",41,605,6.35
"2020-03-22 00:00:00",13,153,7.83
"2020-03-23 00:00:00",24,498,4.6
"2020-03-24 00:00:00",75,1352,5.26
"2020-03-25 00:00:00",55,1008,5.17
"2020-03-26 00:00:00",36,1141,3.06
"2020-03-27 00:00:00",65,1223,5.05
"2020-03-28 00:00:00",39,1024,3.67
"2020-03-29 00:00:00",31,837,3.57
"2020-03-30 00:00:00",33,1153,2.78
"2020-03-31 00:00:00",58,1966,2.87
"2020-04-01 00:00:00",78,1337,5.51
"2020-04-02 00:00:00",93,2492,3.6
"2020-04-03 00:00:00",74,1554,4.55
"2020-04-04 00:00:00",62,1351,4.39
"2020-04-05 00:00:00",11,901,1.21
"2020-04-06 00:00:00",43,1735,2.42
"2020-04-07 00:00:00",36,1323,2.65
"2020-04-08 00:00:00",23,1842,1.23
"2020-04-09 00:00:00",51,1541,3.2
"2020-04-10 00:00:00",45,1619,2.7
"2020-04-11 00:00:00",5,941,0.53
"2020-04-12 00:00:00",19,430,4.23
"2020-04-13 00:00:00",44,1654,2.59
"2020-04-14 00:00:00",29,1829,1.56
"2020-04-15 00:00:00",34,2229,1.5
"2020-04-16 00:00:00",25,1671,1.47
"2020-04-17 00:00:00",53,2138,2.42
"2020-04-18 00:00:00",16,761,2.06
"2020-04-19 00:00:00",7,669,1.04
"2020-04-20 00:00:00",17,1476,1.14
"2020-04-21 00:00:00",7,1653,0.42
"2020-04-22 00:00:00",32,1700,1.85
"2020-04-23 00:00:00",16,1227,1.29
"2020-04-24 00:00:00",29,1199,2.36
"2020-04-25 00:00:00",9,669,1.33
"2020-04-26 00:00:00",4,551,0.72
"2020-04-27 00:00:00",10,1269,0.78
"2020-04-28 00:00:00",9,1947,0.46
"2020-04-29 00:00:00",23,1808,1.26
"2020-04-30 00:00:00",5,1330,0.37
"2020-05-01 00:00:00",5,760,0.65
"2020-05-02 00:00:00",1,831,0.12
"2020-05-03 00:00:00",3,668,0.45
"2020-05-04 00:00:00",8,1868,0.43
"2020-05-05 00:00:00",2,1760,0.11
"2020-05-06 00:00:00",7,1784,0.39
"2020-05-07 00:00:00",5,1516,0.33
"2020-05-08 00:00:00",8,1197,0.66
"2020-05-09 00:00:00",6,750,0.79
"2020-05-10 00:00:00",2,714,0.28
"2020-05-11 00:00:00",5,1226,0.41
"2020-05-12 00:00:00",5,1346,0.37
"2020-05-13 00:00:00",7,1355,0.51
"2020-05-14 00:00:00",8,1145,0.69
"2020-05-15 00:00:00",4,918,0.43
"2020-05-16 00:00:00",4,807,0.49
"2020-05-17 00:00:00",9,817,1.09
"2020-05-18 00:00:00",8,1510,0.53
"2020-05-19 00:00:00",3,1237,0.24
"2020-05-20 00:00:00",6,1548,0.39
"2020-05-21 00:00:00",7,1049,0.66
"2020-05-22 00:00:00",14,828,1.66
"2020-05-23 00:00:00",2,629,0.32
"2020-05-24 00:00:00",1,982,0.1
"2020-05-25 00:00:00",10,1789,0.56
"2020-05-26 00:00:00",6,1835,0.33
"2020-05-27 00:00:00",11,1366,0.8
"2020-05-28 00:00:00",8,1213,0.66
"2020-05-29 00:00:00",6,1212,0.49
"2020-05-30 00:00:00",4,820,0.49
